# --------------------------------------------------
# nrow : 192
# ncol : 1
# description : Streamflow data time series for site 203014 extracted from WaterNSW website (https://realtimedata.waternsw.com.au/)
# reference : Lerat and Vaze (2024), Communication Earth and Environment, submitted
# time_generated : 2024-12-19 15:35:30
# author : Julien Lerat, CSIRO Enviromment
# source_file : DATA_prepare_map_data.py
# --------------------------------------------------
TIME,STREAMFLOW[m3/sec]
2022-02-23 00:00:00,6.37041
2022-02-23 01:00:00,6.34909
2022-02-23 02:00:00,6.33524
2022-02-23 03:00:00,6.30865
2022-02-23 04:00:00,6.29696
2022-02-23 05:00:00,6.28208
2022-02-23 06:00:00,6.28633
2022-02-23 07:00:00,6.36833
2022-02-23 08:00:00,6.58036
2022-02-23 09:00:00,6.90405
2022-02-23 10:00:00,7.26043
2022-02-23 11:00:00,7.71907
2022-02-23 12:00:00,8.29007
2022-02-23 13:00:00,9.05282
2022-02-23 14:00:00,10.10606
2022-02-23 15:00:00,11.46793
2022-02-23 16:00:00,12.83029
2022-02-23 17:00:00,13.91566
2022-02-23 18:00:00,14.56924
2022-02-23 19:00:00,14.98788
2022-02-23 20:00:00,15.53453
2022-02-23 21:00:00,16.55164
2022-02-23 22:00:00,17.97425
2022-02-23 23:00:00,20.63786
2022-02-24 00:00:00,24.01119
2022-02-24 01:00:00,28.94756
2022-02-24 02:00:00,37.41260
2022-02-24 03:00:00,45.34766
2022-02-24 04:00:00,51.01925
2022-02-24 05:00:00,56.03466
2022-02-24 06:00:00,61.80142
2022-02-24 07:00:00,69.74986
2022-02-24 08:00:00,77.46700
2022-02-24 09:00:00,84.52241
2022-02-24 10:00:00,92.68506
2022-02-24 11:00:00,100.30950
2022-02-24 12:00:00,106.24874
2022-02-24 13:00:00,111.48834
2022-02-24 14:00:00,117.75566
2022-02-24 15:00:00,123.65263
2022-02-24 16:00:00,128.59310
2022-02-24 17:00:00,133.67909
2022-02-24 18:00:00,137.90458
2022-02-24 19:00:00,142.55692
2022-02-24 20:00:00,146.08207
2022-02-24 21:00:00,149.43134
2022-02-24 22:00:00,152.92793
2022-02-24 23:00:00,155.77389
2022-02-25 00:00:00,157.62767
2022-02-25 01:00:00,159.20301
2022-02-25 02:00:00,159.93426
2022-02-25 03:00:00,159.78584
2022-02-25 04:00:00,159.01812
2022-02-25 05:00:00,157.26183
2022-02-25 06:00:00,155.02089
2022-02-25 07:00:00,151.63274
2022-02-25 08:00:00,147.26565
2022-02-25 09:00:00,141.92388
2022-02-25 10:00:00,135.72647
2022-02-25 11:00:00,128.63465
2022-02-25 12:00:00,120.48347
2022-02-25 13:00:00,112.48058
2022-02-25 14:00:00,106.51128
2022-02-25 15:00:00,100.83951
2022-02-25 16:00:00,95.09494
2022-02-25 17:00:00,89.07319
2022-02-25 18:00:00,82.99756
2022-02-25 19:00:00,77.58391
2022-02-25 20:00:00,72.96995
2022-02-25 21:00:00,68.53962
2022-02-25 22:00:00,64.26962
2022-02-25 23:00:00,60.25647
2022-02-26 00:00:00,57.18206
2022-02-26 01:00:00,54.57478
2022-02-26 02:00:00,52.04260
2022-02-26 03:00:00,49.61596
2022-02-26 04:00:00,47.20566
2022-02-26 05:00:00,44.83664
2022-02-26 06:00:00,42.54087
2022-02-26 07:00:00,40.30181
2022-02-26 08:00:00,38.13632
2022-02-26 09:00:00,36.05419
2022-02-26 10:00:00,34.06022
2022-02-26 11:00:00,32.16032
2022-02-26 12:00:00,30.35568
2022-02-26 13:00:00,28.71309
2022-02-26 14:00:00,27.24821
2022-02-26 15:00:00,25.92083
2022-02-26 16:00:00,24.85766
2022-02-26 17:00:00,23.92314
2022-02-26 18:00:00,23.21350
2022-02-26 19:00:00,22.72902
2022-02-26 20:00:00,22.54719
2022-02-26 21:00:00,22.62211
2022-02-26 22:00:00,22.91947
2022-02-26 23:00:00,23.33068
2022-02-27 00:00:00,23.79669
2022-02-27 01:00:00,24.44225
2022-02-27 02:00:00,25.52203
2022-02-27 03:00:00,27.12333
2022-02-27 04:00:00,29.23248
2022-02-27 05:00:00,31.53676
2022-02-27 06:00:00,33.96428
2022-02-27 07:00:00,36.83266
2022-02-27 08:00:00,41.12740
2022-02-27 09:00:00,47.30470
2022-02-27 10:00:00,54.29265
2022-02-27 11:00:00,63.51213
2022-02-27 12:00:00,78.01418
2022-02-27 13:00:00,95.30236
2022-02-27 14:00:00,108.72112
2022-02-27 15:00:00,122.32940
2022-02-27 16:00:00,134.75264
2022-02-27 17:00:00,149.26554
2022-02-27 18:00:00,169.73285
2022-02-27 19:00:00,220.35015
2022-02-27 20:00:00,307.19659
2022-02-27 21:00:00,384.96669
2022-02-27 22:00:00,434.71345
2022-02-27 23:00:00,451.31316
2022-02-28 00:00:00,460.53561
2022-02-28 01:00:00,453.31436
2022-02-28 02:00:00,451.47392
2022-02-28 03:00:00,453.22750
2022-02-28 04:00:00,452.11603
2022-02-28 05:00:00,452.55315
2022-02-28 06:00:00,452.36714
2022-02-28 07:00:00,463.65615
2022-02-28 08:00:00,473.67613
2022-02-28 09:00:00,480.03630
2022-02-28 10:00:00,499.31204
2022-02-28 11:00:00,515.39382
2022-02-28 12:00:00,534.58844
2022-02-28 13:00:00,557.30159
2022-02-28 14:00:00,568.33215
2022-02-28 15:00:00,573.37934
2022-02-28 16:00:00,561.95510
2022-02-28 17:00:00,547.09750
2022-02-28 18:00:00,525.79897
2022-02-28 19:00:00,505.85176
2022-02-28 20:00:00,487.45112
2022-02-28 21:00:00,478.83494
2022-02-28 22:00:00,465.89137
